#Updated: 02/12/2016 07:21:57
#organism_name	taxID	group	sub group	assembly	level	refSeq FTP	geneBank FTP
Colletotrichum simmondsii	703756	Fungi	Ascomycetes	GCA_001563135.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/135/GCA_001563135.1_CSIM01
Colletotrichum salicis	1209931	Fungi	Ascomycetes	GCA_001563125.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/125/GCA_001563125.1_CSAL01
Fusarium sambucinum	5128	Fungi	Ascomycetes	GCA_001567575.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/567/575/GCA_001567575.1_Fsamv1.0
Penicillium griseofulvum	5078	Fungi	Ascomycetes	GCA_001561935.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/561/935/GCA_001561935.1_ASM156193v1
Talaromyces pinophilus	128442	Fungi	Ascomycetes	GCA_001571465.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/571/465/GCA_001571465.1_ASM157146v1
Microdochium bolleyi	196109	Fungi	Ascomycetes	GCA_001566295.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/566/295/GCA_001566295.1_Microdochium_bolleyi_v1.0
Leucoagaricus sp. SymC.cos	1714833	Fungi	Basidiomycetes	GCA_001563735.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/735/GCA_001563735.1_ASM156373v1
Pythium oligandrum	41045	Protists	Other Protists	GCA_001573145.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/573/145/GCA_001573145.1_ASM157314v1
Mycosphaerella eumusae	321146	Fungi	Ascomycetes	GCA_001578235.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/578/235/GCA_001578235.1_ASM157823v1
Pseudocercospora musae	113226	Fungi	Ascomycetes	GCA_001578225.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/578/225/GCA_001578225.1_ASM157822v1
Ditylenchus destructor	166010	Animals	Roundworms	GCA_001579705.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/579/705/GCA_001579705.1_ASM157970v1
Phaffia rhodozyma	264483	Fungi	Basidiomycetes	GCA_001579715.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/579/715/GCA_001579715.1_ASM157971v1
Bactrocera latifrons	174628	Animals	Insects	GCA_001853355.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/853/355/GCF_001853355.1_ASM185335v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/853/355/GCA_001853355.1_ASM185335v1
Phoebis sennae	40077	Animals	Insects	GCA_001586405.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/586/405/GCA_001586405.1_3314_assembly_v1
Sphaeroforma sirkka	1618205	Protists	Other Protists	GCA_001586965.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/586/965/GCA_001586965.1_ASM158696v1
Xeromyces bisporus	89491	Fungi	Ascomycetes	GCA_900006255.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/006/255/GCA_900006255.1_Xbisp_v1.0
Zoysia japonica	309978	Plants	Land Plants	GCA_001602275.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/275/GCA_001602275.1_ASM160227v1
Zoysia matrella	38722	Plants	Land Plants	GCA_001602295.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/295/GCA_001602295.1_ASM160229v1
Zoysia pacifica	1070856	Plants	Land Plants	GCA_001602315.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/315/GCA_001602315.1_ASM160231v1
Yarrowia sp. JCM 30695	1635101	Fungi	Ascomycetes	GCA_001602355.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/355/GCA_001602355.1_JCM_30695_assembly_v001
Aspergillus luchuensis	1069201	Fungi	Ascomycetes	GCA_001602395.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/395/GCA_001602395.1_AspL_2604
Phyllosticta capitalensis	121624	Fungi	Ascomycetes	GCA_001604925.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/604/925/GCA_001604925.1_ASM160492v1
Lepidothrix coronata	321398	Animals	Birds	GCA_001604755.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/604/755/GCF_001604755.1_Lepidothrix_coronata-1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/604/755/GCA_001604755.1_Lepidothrix_coronata-1.0
Trachymyrmex zeteki	64791	Animals	Insects	GCA_001594055.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/055/GCF_001594055.1_Tzet1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/055/GCA_001594055.1_Tzet1.0
Hypsizygus marmoreus	39966	Fungi	Basidiomycetes	GCA_001605315.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/315/GCA_001605315.1_ASM160531v1
Cryptosporidium baileyi	27987	Protists	Apicomplexans	GCA_001593455.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/455/GCA_001593455.1_CryBaiTAMU-09Q1-1.0
Miniopterus natalensis	291302	Animals	Mammals	GCA_001595765.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/595/765/GCF_001595765.1_Mnat.v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/765/GCA_001595765.1_Mnat.v1
Ambrosiozyma kashinagacola	489715	Fungi	Ascomycetes	GCA_001599075.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/075/GCA_001599075.1_JCM_15019_assembly_v001
[Candida] homilentoma	45558	Fungi	Ascomycetes	GCA_001599095.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/095/GCA_001599095.1_JCM_1507_assembly_v001
Candida sorboxylosa	49334	Fungi	Ascomycetes	GCA_001599115.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/115/GCA_001599115.1_JCM_1536_assembly_v001
[Candida] intermedia	45354	Fungi	Ascomycetes	GCA_001599135.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/135/GCA_001599135.1_JCM_1607_assembly_v001
Wickerhamia fluorescens	45790	Fungi	Ascomycetes	GCA_001599155.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/155/GCA_001599155.1_JCM_1821_assembly_v001
Pestalotiopsis sp. JCM 9685	1633207	Fungi	Ascomycetes	GCA_001599175.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/175/GCA_001599175.1_JCM_9685_assembly_v001
Cyberlindnera fabianii	36022	Fungi	Ascomycetes	GCA_001599195.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/195/GCA_001599195.1_JCM_3601_assembly_v001
Saccharomycopsis malanga	44092	Fungi	Ascomycetes	GCA_001599215.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/215/GCA_001599215.1_JCM_7620_assembly_v001
[Candida] carpophila	374178	Fungi	Ascomycetes	GCA_001599235.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/235/GCA_001599235.1_JCM_9396_assembly_v001
[Candida] succiphila	51927	Fungi	Ascomycetes	GCA_001599255.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/255/GCA_001599255.1_JCM_9445_assembly_v001
Wickerhamiella domercqiae	45788	Fungi	Ascomycetes	GCA_001599275.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/275/GCA_001599275.1_JCM_9478_assembly_v001
Sporopachydermia quercuum	54094	Fungi	Ascomycetes	GCA_001599295.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/295/GCA_001599295.1_JCM_9486_assembly_v001
Nakazawaea peltata	1538182	Fungi	Ascomycetes	GCA_001599355.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/355/GCA_001599355.1_JCM_9829_assembly_v001
Phoma herbarum	73001	Fungi	Ascomycetes	GCA_001599375.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/375/GCA_001599375.1_JCM_15942_assembly_v001
Scheffersomyces lignosus	1111081	Fungi	Ascomycetes	GCA_001599395.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/395/GCA_001599395.1_JCM_9837_assembly_v001
Aspergillus awamori var. piceus	309746	Fungi	Ascomycetes	GCA_001599415.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/415/GCA_001599415.1_JCM_22320_assembly_v001
Chalaropsis thielavioides	112131	Fungi	Ascomycetes	GCA_001599435.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/435/GCA_001599435.1_JCM_1933_assembly_v001
Memnoniella echinata	80383	Fungi	Ascomycetes	GCA_001599555.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/555/GCA_001599555.1_JCM_22618_assembly_v001
Beverwykella pulmonaria	409207	Fungi	Ascomycetes	GCA_001599595.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/595/GCA_001599595.1_JCM_9230_assembly_v001
Actinomucor elegans	64647	Fungi	Other Fungi	GCA_001599635.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/635/GCA_001599635.1_JCM_22485_assembly_v001
Golubevia pallescens	58918	Fungi	Basidiomycetes	GCA_001599655.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/655/GCA_001599655.1_JCM_5230_assembly_v001
Basipetospora chlamydospora	89487	Fungi	Ascomycetes	GCA_001599675.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/675/GCA_001599675.1_JCM_23157_assembly_v001
Phaeotremella skinneri	89928	Fungi	Basidiomycetes	GCA_001599695.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/695/GCA_001599695.1_JCM_9039_assembly_v001
Phaeotremella fagi	334123	Fungi	Basidiomycetes	GCA_001599715.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/715/GCA_001599715.1_JCM_13614_assembly_v001
Gliomastix tumulicola	909944	Fungi	Ascomycetes	GCA_001599755.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/755/GCA_001599755.1_JCM_17184_assembly_v001
Exophiala alcalophila	91920	Fungi	Ascomycetes	GCA_001599775.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/775/GCA_001599775.1_JCM_1751_assembly_v001
Exophiala calicioides	135514	Fungi	Ascomycetes	GCA_001599795.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/795/GCA_001599795.1_JCM_6030_assembly_v001
Acremonium furcatum	45276	Fungi	Ascomycetes	GCA_001599815.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/815/GCA_001599815.1_JCM_9210_assembly_v001
Thermoascus crustaceus	5088	Fungi	Ascomycetes	GCA_001599835.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/835/GCA_001599835.1_JCM_12817_assembly_v001
Aspergillus chevalieri	182096	Fungi	Ascomycetes	GCA_001599875.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/875/GCA_001599875.1_JCM_23047_assembly_v001
Priceomyces haplophilus	45502	Fungi	Ascomycetes	GCA_001599895.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/895/GCA_001599895.1_JCM_1635_assembly_v001
Symbiotaphrina buchneri	40220	Fungi	Ascomycetes	GCA_001599915.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/915/GCA_001599915.1_JCM_9740_assembly_v001
Holtermannia corniformis	71782	Fungi	Basidiomycetes	GCA_001599935.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/935/GCA_001599935.1_JCM_1743_assembly_v001
Cystobasidium pallidum	106015	Fungi	Basidiomycetes	GCA_001599955.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/955/GCA_001599955.1_JCM_3780_assembly_v001
Cystobasidiopsis lactophilus	5440	Fungi	Basidiomycetes	GCA_001599975.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/975/GCA_001599975.1_JCM_7595_assembly_v001
Ambrosiozyma monospora	43982	Fungi	Ascomycetes	GCA_001599995.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/995/GCA_001599995.1_JCM_7599_assembly_v001
Solicoccozyma phenolicus	104411	Fungi	Basidiomycetes	GCA_001600015.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/015/GCA_001600015.1_JCM_11743_assembly_v001
Holtermanniella nyarrowii	104675	Fungi	Basidiomycetes	GCA_001600035.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/035/GCA_001600035.1_JCM_11471_assembly_v001
Filobasidium wieringae	104416	Fungi	Basidiomycetes	GCA_001600055.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/055/GCA_001600055.1_JCM_11695_assembly_v001
Yarrowia deformans	1608523	Fungi	Ascomycetes	GCA_001600075.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/075/GCA_001600075.1_JCM_1694_assembly_v001
Bullera alba	157611	Fungi	Basidiomycetes	GCA_001600095.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/095/GCA_001600095.1_JCM_2954_assembly_v001
Erythrobasidium yunnanense	114840	Fungi	Basidiomycetes	GCA_001600175.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/175/GCA_001600175.1_JCM_10687_assembly_v001
Yarrowia keelungensis	1635098	Fungi	Ascomycetes	GCA_001600195.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/195/GCA_001600195.1_JCM_14894_assembly_v001
Vanrija humicola	5417	Fungi	Basidiomycetes	GCA_001600235.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/235/GCA_001600235.1_JCM_1457_assembly_v001
Apiotrichum porosum	105984	Fungi	Basidiomycetes	GCA_001600255.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/255/GCA_001600255.1_JCM_1458_assembly_v001
Apiotrichum brassicae	82513	Fungi	Basidiomycetes	GCA_001600295.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/295/GCA_001600295.1_JCM_1599_assembly_v001
Apiotrichum gamsii	1105092	Fungi	Basidiomycetes	GCA_001600315.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/315/GCA_001600315.1_JCM_9941_assembly_v001
Apiotrichum gracile	82516	Fungi	Basidiomycetes	GCA_001600335.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/335/GCA_001600335.1_JCM_10018_assembly_v001
Meira nashicola	286112	Fungi	Basidiomycetes	GCA_001600355.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/355/GCA_001600355.1_JCM_18503_assembly_v001
Candida versatilis	27304	Fungi	Ascomycetes	GCA_001600375.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/375/GCA_001600375.1_JCM_5958_assembly_v001
Peltaster fructicola	286661	Fungi	Ascomycetes	GCA_001592805.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/592/805/GCA_001592805.1_ASM159280v1
Atta colombica	520822	Animals	Insects	GCA_001594045.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/045/GCF_001594045.1_Acol1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/045/GCA_001594045.1_Acol1.0
Cyphomyrmex costatus	456900	Animals	Insects	GCA_001594065.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/065/GCF_001594065.1_Ccosl1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/065/GCA_001594065.1_Ccosl1.0
Trachymyrmex cornetzi	471704	Animals	Insects	GCA_001594075.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/075/GCF_001594075.1_Tcor1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/075/GCA_001594075.1_Tcor1.0
Trachymyrmex septentrionalis	34720	Animals	Insects	GCA_001594115.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/115/GCF_001594115.1_Tsep1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/115/GCA_001594115.1_Tsep1.0
Apiotrichum montevideense	82521	Fungi	Basidiomycetes	GCA_001598995.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/598/995/GCA_001598995.1_JCM_9937_assembly_v001
Apiotrichum domesticum	82514	Fungi	Basidiomycetes	GCA_001599015.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/015/GCA_001599015.1_JCM_9580_assembly_v001
Thielaviopsis paradoxa	13001	Fungi	Ascomycetes	GCA_001599615.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/615/GCA_001599615.1_JCM_6020_assembly_v001
Cutaneotrichosporon guehoae	105714	Fungi	Basidiomycetes	GCA_001600415.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/415/GCA_001600415.1_JCM_10690_assembly_v001
Endocalyx cinctus	1633209	Fungi	Ascomycetes	GCA_001600455.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/455/GCA_001600455.1_JCM_7946_assembly_v001
Pilasporangium apinafurcum	1635159	Protists	Other Protists	GCA_001600495.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/495/GCA_001600495.1_JCM_30514_assembly_v001
Cebus capucinus imitator	1737458	Animals	Mammals	GCA_001604975.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/604/975/GCF_001604975.1_Cebus_imitator-1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/604/975/GCA_001604975.1_Cebus_imitator-1.0
Micromonas commoda	296587	Plants	Green Algae	GCA_000090985.2 	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/985/GCF_000090985.2_ASM9098v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/090/985/GCA_000090985.2_ASM9098v2
Mycena chlorophos	658473	Fungi	Basidiomycetes	GCA_001612595.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/612/595/GCA_001612595.1_MycenaChlorophos_1.0
Yarrowia sp. JCM 30694	1635099	Fungi	Ascomycetes	GCA_001600515.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/515/GCA_001600515.1_JCM_30694_assembly_v001
Yarrowia sp. JCM 30696	1635100	Fungi	Ascomycetes	GCA_001600535.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/535/GCA_001600535.1_JCM_30696_assembly_v001
Albophoma yamanashiensis	1635095	Fungi	Ascomycetes	GCA_001600555.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/555/GCA_001600555.1_JCM_11844_assembly_v001
Didymobotryum rigidum	1635097	Fungi	Ascomycetes	GCA_001600575.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/575/GCA_001600575.1_JCM_8837_assembly_v001
Apiotrichum veenhuisii	105713	Fungi	Basidiomycetes	GCA_001600595.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/595/GCA_001600595.1_JCM_10691_assembly_v001
Dioszegia crocea	4974	Fungi	Basidiomycetes	GCA_001600615.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/615/GCA_001600615.1_JCM_2961_assembly_v001
Leucosporidium creatinivorum	106004	Fungi	Basidiomycetes	GCA_001600635.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/635/GCA_001600635.1_JCM_10699_assembly_v001
Dioszegia aurantiaca	4973	Fungi	Basidiomycetes	GCA_001600655.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/655/GCA_001600655.1_JCM_2956_assembly_v001
Millerozyma acaciae	28986	Fungi	Ascomycetes	GCA_001600675.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/675/GCA_001600675.1_JCM_10732_assembly_v001
Ascoidea asiatica	1301101	Fungi	Ascomycetes	GCA_001600695.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/695/GCA_001600695.1_JCM_7603_assembly_v001
Cutaneotrichosporon cutaneum	5554	Fungi	Basidiomycetes	GCA_001613755.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/613/755/GCA_001613755.1_ASM161375v1
Sarocladium oryzae	284135	Fungi	Ascomycetes	GCA_001605845.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/845/GCA_001605845.1_ASM160584v1
Dictyostelium lacteum	361077	Protists	Other Protists	GCA_001606155.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/606/155/GCA_001606155.1_ASM160615v1
Colletotrichum tofieldiae	708197	Fungi	Ascomycetes	GCA_001618715.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/715/GCA_001618715.1_Ct127615v1
Apiotrichum laibachii	82520	Fungi	Basidiomycetes	GCA_001600735.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/735/GCA_001600735.1_JCM_2947_assembly_v001
Ogataea methanolica	1156966	Fungi	Ascomycetes	GCA_001600755.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/755/GCA_001600755.1_JCM_10240_assembly_v001
Alloascoidea hylecoeti	54196	Fungi	Ascomycetes	GCA_001600815.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/815/GCA_001600815.1_JCM_7604_assembly_v001
Cryptococcus sp. JCM 24511	1639000	Fungi	Basidiomycetes	GCA_001600855.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/855/GCA_001600855.1_JCM_24511_assembly_v001
Solicoccozyma terricola	104414	Fungi	Basidiomycetes	GCA_001600875.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/875/GCA_001600875.1_JCM_24518_assembly_v001
Drechmeria coniospora	98403	Fungi	Ascomycetes	GCA_001625195.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/625/195/GCA_001625195.1_ASM162519v1
Puccinia horiana	331382	Fungi	Basidiomycetes	GCA_001624995.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/624/995/GCA_001624995.1_ASM162499v1
Calycopis cecrops	691633	Animals	Insects	GCA_001625245.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/625/245/GCA_001625245.1_3306_assembly_v2
Colletotrichum incanum	1573173	Fungi	Ascomycetes	GCA_001855235.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/855/235/GCA_001855235.1_ASM185523v1
Helotiales sp. VPRI 42388	1414753	Fungi	Ascomycetes	GCA_001625345.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/625/345/GCA_001625345.1_ASM162534v1
Trichophyton interdigitale MR816	1215338	Fungi	Ascomycetes	GCA_000622975.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/622/975/GCA_000622975.1_Tric_inte_MR816_V1
Ascochyta rabiei	5454	Fungi	Ascomycetes	GCA_001630375.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/630/375/GCA_001630375.1_AscRab1.0
Haemoproteus tartakovskyi	707206	Protists	Apicomplexans	GCA_001625125.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/625/125/GCA_001625125.1_ASM162512v1
Sporothrix globosa	545651	Fungi	Ascomycetes	GCA_001630435.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/630/435/GCA_001630435.1_ASM163043v1
Coelastrella sp. M60	1489057	Plants	Green Algae	GCA_001630525.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/630/525/GCA_001630525.1_ASM163052v1
Candida infanticola	1116880	Fungi	Ascomycetes	GCA_001630515.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/630/515/GCA_001630515.1_ASM163051v1
Pseudogymnoascus sp. BL549	1436941	Fungi	Ascomycetes	GCA_001630585.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/630/585/GCA_001630585.1_ASM163058v1
Fibulorhizoctonia sp. CBS 109695	436010	Fungi	Basidiomycetes	GCA_001630335.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/630/335/GCA_001630335.1_Fibsp1
Fusarium sp. FSSC_6	1590595	Fungi	Ascomycetes	GCA_001633045.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/045/GCA_001633045.1_ASM163304v1
